"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"3078","1","UniversityOfFlorida","Communal",75,"19","Sophomore","Female","Asian-American","Pass"
"3080","100","UniversityOfFlorida","Agentic",79,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3081","101","UniversityOfFlorida","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3082","102","UniversityOfFlorida","Communal",75,"18","First-year","Female","Asian-American","Pass"
"3083","103","UniversityOfFlorida","Communal",77,"19","First-year","Male","Asian-American","Fail"
"3084","104","UniversityOfFlorida","Communal",78,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3085","105","UniversityOfFlorida","Agentic",72,"18","First-year","Male","Asian-American","Pass"
"3086","106","UniversityOfFlorida","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3087","107","UniversityOfFlorida","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3088","108","UniversityOfFlorida","Communal",70,"18","First-year","Male","Latino or Hispanic","Fail"
"3089","109","UniversityOfFlorida","Communal",72,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3090","11","UniversityOfFlorida","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3091","110","UniversityOfFlorida","Communal",75,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"3092","111","UniversityOfFlorida","Communal",70,"20","Junior","Male","African-American","Fail"
"3093","112","UniversityOfFlorida","Agentic",70,"19","Sophomore","Male","Latino or Hispanic","Pass"
"3094","113","UniversityOfFlorida","Agentic",78,"18","First-year","Female","Latino or Hispanic","Pass"
"3095","114","UniversityOfFlorida","Agentic",72,"20","Sophomore","Female","African-American","Fail"
"3096","115","UniversityOfFlorida","Communal",72,"19","Sophomore","Female","Multiracial","Pass"
"3097","116","UniversityOfFlorida","Agentic",72,"18","First-year","Female","Latino or Hispanic","Pass"
"3098","117","UniversityOfFlorida","Communal",74,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3099","118","UniversityOfFlorida","Agentic",80,"22","Senior","Male","African-American","Pass"
"3100","119","UniversityOfFlorida","Agentic",70,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3101","12","UniversityOfFlorida","Communal",80,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3102","120","UniversityOfFlorida","Agentic",76,"19","Junior","Female","White, non-Hispanic or latino","Pass"
"3104","122","UniversityOfFlorida","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3105","123","UniversityOfFlorida","Agentic",69,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3106","124","UniversityOfFlorida","Agentic",76,"18","First-year","Male","Latino or Hispanic","Fail"
"3107","125","UniversityOfFlorida","Communal",75,"21","Junior","Male","Latino or Hispanic","Pass"
"3108","126","UniversityOfFlorida","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3109","127","UniversityOfFlorida","Communal",62,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3110","128","UniversityOfFlorida","Communal",78,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3111","129","UniversityOfFlorida","Communal",75,"18","First-year","Female","Latino or Hispanic","Pass"
"3113","130","UniversityOfFlorida","Communal",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3114","131","UniversityOfFlorida","Agentic",75,"20","Junior","Male","White, non-Hispanic or latino","Pass"
