"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"2482","","TexasAandM","Agentic",76,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2483","","TexasAandM","Communal",80,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2484","","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2485","","TexasAandM","Agentic",76,"22","Senior","Male","White, non-Hispanic or latino","Pass"
"2486","10","TexasAandM","Agentic",75,"19","Sophomore","Female","Multiracial","Fail"
"2487","100","TexasAandM","Communal",72,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2488","101","TexasAandM","Agentic",75,"18","First-year",NA,NA,"Fail"
"2489","102","TexasAandM","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2490","103","TexasAandM","Agentic",78,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2491","104","TexasAandM","Agentic",74,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2492","105","TexasAandM","Communal",80,"18","First-year","Female","Multiracial","Fail"
"2493","106","TexasAandM","Communal",80,"19","Sophomore","Male","African-American","Pass"
"2494","107","TexasAandM","Communal",72,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2495","108","TexasAandM","Communal",70,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2496","109","TexasAandM","Agentic",74,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2497","11","TexasAandM","Agentic",75,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"2498","110","TexasAandM","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2499","111","TexasAandM","Agentic",70,"20","Sophomore","Female","African-American","Fail"
"2500","112","TexasAandM","Agentic",72,"18","First-year","Male","Asian-American","Pass"
"2501","113","TexasAandM","Communal",75,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2502","114","TexasAandM","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2503","115","TexasAandM","Communal",73,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2504","116","TexasAandM","Agentic",70,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2505","117","TexasAandM","Agentic",75,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"2506","118","TexasAandM","Communal",70,"20","Sophomore","Male","Latino or Hispanic","Pass"
"2507","119","TexasAandM","Agentic",68,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2508","12","TexasAandM","Agentic",76,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2509","120","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2510","121","TexasAandM","Communal",74,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2513","124","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2514","125","TexasAandM","Communal",70,"18","First-year","Male","Asian-American","Fail"
"2515","126","TexasAandM","Communal",77,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2516","127","TexasAandM","Agentic",70,"18","First-year","Female","Latino or Hispanic","Fail"
"2518","13","TexasAandM","Communal",70,"20","Junior","Male","Asian-American","Pass"
"2519","130","TexasAandM","Communal",80,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2520","131","TexasAandM","Communal",73,"19","Sophomore","Male","Latino or Hispanic","Fail"
"2522","133","TexasAandM","Agentic",76,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2523","134","TexasAandM","Communal",70,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2524","135","TexasAandM","Communal",73,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2525","136","TexasAandM","Agentic",76,"20","Junior","Male","Asian-American","Pass"
"2527","139","TexasAandM","Communal",75,"19","First-year","Male","Latino or Hispanic","Fail"
"2528","14","TexasAandM","Communal",65,"18","First-year","Female","Latino or Hispanic","Pass"
"2529","140","TexasAandM","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2530","141","TexasAandM","Agentic",73,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2531","142","TexasAandM","Communal",76,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2532","143","TexasAandM","Communal",74,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2533","144","TexasAandM","Communal",74,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2534","145","TexasAandM","Communal",75,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2535","146","TexasAandM","Communal",75,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2538","149","TexasAandM","Communal",73,"18","First-year","Male","Asian-American","Fail"
"2539","15","TexasAandM","Agentic",70,"18","First-year","Female","Latino or Hispanic","Pass"
"2540","150","TexasAandM","Communal",80,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2542","152","TexasAandM","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2543","153","TexasAandM","Communal",74,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2544","154","TexasAandM","Agentic",75,"20`","Junior","Male","White, non-Hispanic or latino","Fail"
"2545","155","TexasAandM","Communal",76,"18","First-year","Female","Latino or Hispanic","Fail"
"2546","156","TexasAandM","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2547","157","TexasAandM","Communal",79,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2548","158","TexasAandM","Communal",75,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2549","159","TexasAandM","Agentic",74,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2550","16","TexasAandM","Agentic",72,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2551","160","TexasAandM","Communal",72,"20","Sophomore","Female","White, non-Hispanic or latino",NA
"2552","161","TexasAandM","Communal",76,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2553","162","TexasAandM","Communal",70,"20","Sophomore","Female","Asian-American","Fail"
"2554","163","TexasAandM","Agentic",72,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2555","164","TexasAandM","Agentic",76,"20","Junior","Female","Asian-American",NA
"2556","165","TexasAandM","Agentic",76,"19","First-year","Female","Latino or Hispanic","Pass"
"2557","166","TexasAandM","Agentic",80,"18","First-year","Female","Latino or Hispanic","Pass"
"2558","167","TexasAandM","Communal",75,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2559","168","TexasAandM","Agentic",78,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2560","169","TexasAandM","Agentic",76,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"2561","17","TexasAandM","Communal",74,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2562","170","TexasAandM","Agentic",75,"21","Junior","Male","White, non-Hispanic or latino","Fail"
"2564","172","TexasAandM","Agentic",78,"18","First-year","Female","Other","Fail"
"2566","174","TexasAandM","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2567","175","TexasAandM","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2569","177","TexasAandM","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2570","178","TexasAandM","Communal",70,"18","First-year","Male","Latino or Hispanic","Fail"
"2571","179","TexasAandM","Agentic",70,"18","First-year","Female","Latino or Hispanic","Fail"
"2572","18","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2573","180","TexasAandM","Agentic",75,"18","First-year","Female","Latino or Hispanic","Fail"
"2574","181","TexasAandM","Communal",77,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2575","182","TexasAandM","Communal",75,"18","First-year","Female","Latino or Hispanic","Fail"
"2576","183","TexasAandM","Communal",70,"18","First-year","Male","Asian-American","Fail"
"2577","184","TexasAandM","Agentic",70,"18","First-year","Female","Asian-American","Pass"
"2578","185","TexasAandM","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2579","186","TexasAandM","Agentic",70,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2580","19","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2581","20","TexasAandM","Communal",76,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2582","21","TexasAandM","Agentic",75,"18","First-year","Male","African-American","Fail"
"2583","22","TexasAandM","Communal",75,"18","First-year","Female","Latino or Hispanic","Fail"
"2584","23","TexasAandM","Agentic",73,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2585","24","TexasAandM","Agentic",75,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2586","25","TexasAandM","Communal",75,"18","First-year","Male","Latino or Hispanic","Pass"
"2587","26","TexasAandM","Agentic",74,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2588","27","TexasAandM","Agentic",70,"20","Junior","Male","Latino or Hispanic","Pass"
"2589","28","TexasAandM","Communal",75,"19","Sophomore","Male","Native American and Alaska Native","Fail"
"2590","29","TexasAandM","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2591","30","TexasAandM","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2592","31","TexasAandM","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2593","32","TexasAandM","Agentic",80,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2594","33","TexasAandM","Communal",78,"18","First-year","Male","Latino or Hispanic","Fail"
"2595","34","TexasAandM","Communal",63,"18","First-year","Male","Latino or Hispanic","Fail"
"2596","35","TexasAandM","Communal",72,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2597","36","TexasAandM","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2598","37","TexasAandM","Agentic",70,"19","Sophomore","Female","African-American","Fail"
"2599","38","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2600","39","TexasAandM","Communal",78,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2601","40","TexasAandM","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2604","43","TexasAandM","Agentic",75,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2605","44","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2606","45","TexasAandM","Communal",74,"18","First-year","Male","Latino or Hispanic","Pass"
"2607","46","TexasAandM","Agentic",69,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2608","47","TexasAandM","Agentic",74,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2609","48","TexasAandM","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2610","49","TexasAandM","Agentic",75,"19","First-year","Female","Asian-American","Pass"
"2611","50","TexasAandM","Communal",78,"21","Senior","Female","Other","Pass"
"2612","51","TexasAandM","Agentic",74,"18","First-year","Male","Asian-American",NA
"2613","52","TexasAandM","Communal",78,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2614","53","TexasAandM","Agentic",70,"18","First-year","Female","Asian-American","Fail"
"2615","54","TexasAandM","Communal",72,"18","First-year","Female","Asian-American","Fail"
"2616","55","TexasAandM","Communal",74,"19","Sophomore","Male","Native American and Alaska Native","Pass"
"2617","56","TexasAandM","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2618","57","TexasAandM","Communal",75,"18","First-year","Female","Asian-American","Fail"
"2619","58","TexasAandM","Agentic",77,"19","Sophomore","Female","Asian-American","Pass"
"2620","59","TexasAandM","Agentic",75,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2621","60","TexasAandM","Agentic",79,"19","First-year","Female","Latino or Hispanic","Fail"
"2623","62","TexasAandM","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2624","63","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2626","65","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2627","66","TexasAandM","Agentic",75,"19","First-year","Female","Latino or Hispanic","Fail"
"2628","67","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2629","68","TexasAandM","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2630","69","TexasAandM","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2631","7","TexasAandM","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2632","70","TexasAandM","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2633","71","TexasAandM","Communal",74,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2634","72","TexasAandM","Communal",75,"19","First-year","Female","Latino or Hispanic","Fail"
"2635","73","TexasAandM","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Fail"
