"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"3578","61","UniversityOfVirginia","Communal",75,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3579","62","UniversityOfVirginia","Communal",70,"18","First-year","Male","Asian-American","Fail"
"3580","63","UniversityOfVirginia","Communal",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3581","64","UniversityOfVirginia","Communal",80,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3582","65","UniversityOfVirginia","Communal",76,"18","First-year","Male","Asian-American","Fail"
"3584","67","UniversityOfVirginia","Agentic",70,"19","Sophomore","Female","Asian-American","Fail"
"3585","68","UniversityOfVirginia","Communal",60,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3588","70","UniversityOfVirginia","Agentic",70,"18","First-year","Female","Asian-American","Fail"
"3590","72","UniversityOfVirginia","Agentic",65,"18","First-year","Male","Multiracial","Pass"
"3592","74","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3594","76","UniversityOfVirginia","Communal",70,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3595","77","UniversityOfVirginia","Communal",69,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3597","79","UniversityOfVirginia","Communal",70,"18","First-year","Male","Asian-American","Pass"
"3598","8","UniversityOfVirginia","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"3599","80","UniversityOfVirginia","Agentic",66,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"3600","81","UniversityOfVirginia","Communal",69,"17","First-year","Male","African-American","Pass"
"3601","82","UniversityOfVirginia","Communal",75,"19","Sophomore","Female","Other","Fail"
"3602","83","UniversityOfVirginia","Communal",72,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3603","84","UniversityOfVirginia","Communal",75,"19","Sophomore","Female","Asian-American","Pass"
"3607","89","UniversityOfVirginia","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3609","90","UniversityOfVirginia","Communal",70,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"3610","91","UniversityOfVirginia","Communal",72,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3612","93","UniversityOfVirginia","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3613","93","UniversityOfVirginia","Communal",74,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3614","94","UniversityOfVirginia","Communal",65,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3615","95","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3616","96","UniversityOfVirginia","Communal",75,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"3617","97","UniversityOfVirginia","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3618","98","UniversityOfVirginia","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3620",NA,"UniversityOfVirginia","Communal",70,NA,NA,NA,NA,"Fail"
"3621",NA,"UniversityOfVirginia","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3623",NA,"UniversityOfVirginia","Communal",74,NA,NA,NA,NA,"Pass"
"3624",NA,"UniversityOfVirginia","Agentic",71,NA,NA,NA,NA,NA
"3625",NA,"UniversityOfVirginia","Agentic",78,NA,NA,NA,NA,"Fail"
"3626",NA,"UniversityOfVirginia","Communal",68,NA,NA,NA,NA,NA
"3627",NA,"UniversityOfVirginia","Communal",64,NA,NA,NA,NA,NA
"3628",NA,"UniversityOfVirginia","Communal",75,NA,NA,NA,NA,"Fail"
"3629",NA,"UniversityOfVirginia","Agentic",75,NA,NA,NA,NA,"Fail"
"3630",NA,"UniversityOfVirginia","Agentic",65,NA,NA,NA,NA,NA
"3631",NA,"UniversityOfVirginia","Communal",72,"18","First-year","Male","Asian-American","Fail"
"3632",NA,"UniversityOfVirginia","Communal",76,NA,NA,NA,NA,NA
"3633",NA,"UniversityOfVirginia","Agentic",80,NA,NA,NA,NA,NA
"3634",NA,"UniversityOfVirginia","Communal",70,NA,NA,NA,NA,"Fail"
"3635",NA,"UniversityOfVirginia","Agentic",72,NA,NA,NA,NA,NA
"3636",NA,"UniversityOfVirginia","Communal",75,"18","First-year","Female","African-American","Fail"
"3637",NA,"UniversityOfVirginia","Communal",63,NA,NA,NA,NA,"Fail"
"3640",NA,"UniversityOfVirginia","Communal",70,NA,NA,NA,NA,NA
"3641",NA,"UniversityOfVirginia","Communal",72,NA,NA,NA,NA,NA
"3643",NA,"UniversityOfVirginia","Communal",75,NA,NA,NA,NA,NA
"3644",NA,"UniversityOfVirginia","Agentic",75,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3645",NA,"UniversityOfVirginia","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3646",NA,"UniversityOfVirginia","Agentic",66,"18","First-year","Female","Asian-American","Fail"
"3647",NA,"UniversityOfVirginia","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3648",NA,"UniversityOfVirginia","Agentic",70,NA,NA,NA,NA,NA
"3649",NA,"UniversityOfVirginia","Communal",75,NA,NA,NA,NA,NA
"3650",NA,"UniversityOfVirginia","Agentic",78,NA,NA,NA,NA,NA
"3651",NA,"UniversityOfVirginia","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3652",NA,"UniversityOfVirginia","Communal",74,NA,NA,NA,NA,"Fail"
"3653",NA,"UniversityOfVirginia","Agentic",75,NA,NA,NA,NA,"Fail"
"3654",NA,"UniversityOfVirginia","Agentic",65,"19","Sophomore","Female","Asian-American","Fail"
"3655",NA,"UniversityOfVirginia","Communal",75,NA,NA,NA,NA,"Fail"
