"","lab","Light Clipboard_m","Light Clipboard_s","Light Clipboard_n","Heavy Clipboard_m","Heavy Clipboard_s","Heavy Clipboard_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Location","Total_N","Percent_Female","Pass_Attenction_Check","USA"
"1","AshlandUniversity",6.34210526315789,1.09732637706809,38,6.47058823529412,1.10742108598111,34,0.128482972136223,-0.390406777976431,0.647372722248877,0.95,0.0378935474577254,TRUE,0.946,500,"Ashland, OH",86,82.1,"69%","USA"
"2","BradleyUniversity",6.16363636363636,1.27313605748774,55,6.34615384615385,0.883056531945927,52,0.182517482517482,-0.239766604183399,0.604801569218363,0.85,0.0344698783382647,TRUE,0.906,500,"Peoria, IL",120,79.7,"69%","USA"
"3","CarletonUniversity",6.10526315789474,0.809302638222512,19,6,1.20185042515466,19,-0.105263157894737,-0.779419227654945,0.568892911865471,0.95,0.0424885477932741,TRUE,0.95,500,"Ottawa, Ontario",45,71.4,"71%","NotUSA"
"4","IthacaCollege",6.03225806451613,1.25123594811269,31,6.09677419354839,1.10618981824029,31,0.064516129032258,-0.535492265847806,0.664524523912322,0.95,0.0397172718324584,TRUE,0.966,500,"Ithaca, NY",93,74.2,"71%","USA"
"5","MiamiUniversity",5.95121951219512,1.34073150765161,41,6.1,1.19400210453794,40,0.148780487804878,-0.413195299641733,0.710756275251488,0.95,0.0377914705440496,TRUE,0.978,500,"Oxford, OH",97,56.2,"37%","USA"
"6","MichiganStateUniversity",6.09154929577465,1.16634197859284,142,6.06818181818182,0.982232865365593,132,-0.0233674775928296,-0.280816948458983,0.234081993273324,0.85,0.0473898609176415,TRUE,0.96,500,"East Lansing, MI",354,78.6,"81%","USA"
"7","MontanaStateUniversity",6.18181818181818,1.03799859221536,55,6.07547169811321,0.95774287146261,53,-0.106346483704974,-0.487746751100671,0.275053783690723,0.9,0.0473485491052832,TRUE,0.908,500,"Bozeman, MT",129,68.3,"65%","USA"
"8","NovaSoutheasternUniversity",6.24444444444444,0.957163317392396,45,6.575,0.549475274168981,40,0.330555555555556,-0.0118344915647723,0.672945602675884,0.6,0.0211394158411758,TRUE,0.572,500,"Fort Lauderdale, FL",134,78.8,"61%","USA"
"9","OSUNewark",6.19354838709677,1.00553728688956,62,5.90476190476191,1.31632780644079,63,-0.288786482334869,-0.703986995473857,0.126414030804119,0.7,0.0536202073367454,TRUE,0.712,500,"Newark, OH",158,47.1,"50%","USA"
"10","PacificLutheranUniversity",6.26415094339623,1.07687124071805,53,6.24,0.822142546853609,50,-0.0241509433962266,-0.400284505074084,0.351982618281631,0.95,0.0434734786765332,TRUE,0.946,500,"Tacoma, WA",106,76.2,"76%","USA"
"11","PennStateAbington",6.03571428571429,1.15937735192466,56,6.25423728813559,1.18311716181688,59,0.218523002421308,-0.214529555868293,0.651575560710909,0.85,0.0335306947608424,TRUE,0.902,500,"Abington, PA",121,74.8,"54%","USA"
"12","SanDiegoStateUniversity",6.359375,0.72082817229091,64,6.23880597014925,1.28026455881973,67,-0.120569029850746,-0.482004777729452,0.240866718027959,0.9,0.0491409045056734,TRUE,0.896,500,"San Diego, CA",143,71.7,"75%","USA"
"13","TexasAandM",6.2,0.805387266256829,75,6.30769230769231,0.689582827167611,78,0.107692307692307,-0.131499730594125,0.34688434597874,0.85,0.0312870377087372,TRUE,0.832,500,"College Station, TX",181,62.1,"52%","USA"
"14","UCDavis",5.98076923076923,1.01923432652557,52,6,1.24899959967968,51,0.0192307692307692,-0.425971854088913,0.464433392550451,0.95,0.0409281809867745,TRUE,0.982,500,"Davis, CA",120,74.1,"61%","USA"
"15","UCRiverside",6.17757009345794,1.00764140926383,107,6.17142857142857,1.16402107152107,105,-0.00614152202937213,-0.300738625428403,0.288455581369659,0.9,0.0440415608176073,TRUE,0.966,500,"Riverside, CA",248,68.5,"58%","USA"
"16","UniversityOfFlorida",6,1,61,6.08333333333333,0.719973320284095,60,0.083333333333333,-0.230782557462475,0.397449224129141,0.85,0.0370112072697661,TRUE,0.886,500,"Gainesville, FL",138,69.9,"71%","USA"
"17","UniversityOfSouthernMississippi",6.24324324324324,1.11568129174274,37,6.3,1.11401330379203,40,0.0567567567567568,-0.44980059315145,0.563314106664964,0.95,0.0397386714953045,TRUE,0.978,500,"Hattiesburg, MS",89,78.7,"56%","USA"
"18","UniversityOfToronto",6.08333333333333,0.806225774829855,36,5.83783783783784,1.21366097942258,37,-0.245495495495495,-0.727733844548604,0.236742853557613,0.9,0.0489339025111652,TRUE,0.782,500,"Toronto, Ontario",85,67.1,"74%","NotUSA"
"19","UniversityOfVirginia",6.08333333333333,0.880967886855521,84,6.1625,0.877911070724858,80,0.0791666666666666,-0.192144166132072,0.350477499465405,0.85,0.0362869301757099,TRUE,0.89,500,"Charlottesville, VA",198,62.4,"69%","USA"
"20","VirginiaCommonwealthUniversity",6.18604651162791,1.00607237156816,43,6.28888888888889,0.694858462442736,45,0.102842377260981,-0.26217573085657,0.467860485378533,0.9,0.0368835334585219,TRUE,0.88,500,"Richmond, VA",96,65.3,"64%","USA"
