"","session_id","referrer","ContactGroup","Imagineddv"
"5861",2448165,"vcu","Control group",8.25
"5862",2451793,"vcu","Control group",1.75
"5863",2451903,"vcu","Contact group",2.25
"5864",2451987,"vcu","Control group",1.5
"5865",2457829,"vcu","Contact group",5.75
"5866",2458789,"vcu","Control group",2.5
"5867",2458795,"vcu","Contact group",3.75
"5868",2458799,"vcu","Contact group",4.75
"5869",2458838,"vcu","Control group",7.75
"5870",2458840,"vcu","Contact group",5.25
"5871",2458846,"vcu","Control group",3.75
"5872",2458891,"vcu","Contact group",3.5
"5874",2458907,"vcu","Contact group",4
"5875",2458917,"vcu","Control group",7.25
"5876",2458939,"vcu","Control group",6
"5877",2458963,"vcu","Control group",4.25
"5878",2458993,"vcu","Control group",7.5
"5879",2459055,"vcu","Control group",2
"5880",2459062,"vcu","Contact group",8.5
"5881",2459110,"vcu","Control group",4.5
"5882",2461604,"vcu","Contact group",4.5
"5883",2461607,"vcu","Control group",9
"5884",2461614,"vcu","Contact group",5.25
"5885",2461714,"vcu","Control group",7.5
"5886",2461716,"vcu","Control group",3.75
"5887",2465635,"vcu","Contact group",5
"5888",2465638,"vcu","Control group",6.25
"5889",2465639,"vcu","Control group",7.5
"5890",2465710,"vcu","Control group",3.5
"5891",2465711,"vcu","Control group",9
"5892",2465713,"vcu","Control group",7.75
"5893",2465756,"vcu","Control group",3.5
"5894",2465758,"vcu","Contact group",6
"5895",2465793,"vcu","Control group",2
"5896",2465826,"vcu","Control group",6.25
"5897",2465946,"vcu","Control group",6
"5898",2467333,"vcu","Contact group",4.25
"5899",2467427,"vcu","Contact group",2
"5900",2467490,"vcu","Control group",3
"5901",2472268,"vcu","Contact group",5.5
"5902",2472270,"vcu","Control group",5
"5903",2472311,"vcu","Control group",7
"5904",2472313,"vcu","Control group",6
"5905",2472314,"vcu","Contact group",8
"5906",2472424,"vcu","Contact group",4
"5907",2472454,"vcu","Control group",6.75
"5908",2472461,"vcu","Control group",5.25
"5909",2472484,"vcu","Control group",9
"5910",2472527,"vcu","Contact group",5.25
"5911",2472533,"vcu","Contact group",7
"5912",2473443,"vcu","Contact group",7
"5913",2473491,"vcu","Control group",2.5
"5914",2473628,"vcu","Control group",5
"5915",2473629,"vcu","Contact group",5
"5916",2473630,"vcu","Control group",1
"5917",2477381,"vcu","Control group",4.5
"5918",2477384,"vcu","Contact group",1.75
"5919",2477392,"vcu","Control group",6.25
"5920",2477407,"vcu","Control group",6.75
"5921",2477432,"vcu","Control group",1.5
"5922",2477481,"vcu","Contact group",8.75
"5923",2477552,"vcu","Control group",5.25
"5924",2477553,"vcu","Control group",5
"5925",2477608,"vcu","Control group",4.75
"5926",2479419,"vcu","Contact group",6.75
"5927",2479456,"vcu","Control group",5
"5928",2479459,"vcu","Contact group",4.75
"5929",2479461,"vcu","Control group",3
"5930",2479491,"vcu","Control group",7
"5931",2479492,"vcu","Contact group",5
"5932",2479551,"vcu","Control group",5
"5933",2479552,"vcu","Contact group",3.75
"5934",2479556,"vcu","Contact group",6.75
"5935",2479606,"vcu","Contact group",3.5
"5936",2479607,"vcu","Contact group",1.75
"5937",2479610,"vcu","Contact group",5
"5938",2484393,"vcu","Contact group",5
"5939",2484394,"vcu","Control group",1.25
"5940",2484409,"vcu","Control group",3.75
"5941",2484479,"vcu","Contact group",4.25
"5942",2484583,"vcu","Control group",2.5
"5943",2484584,"vcu","Contact group",4.25
"5944",2484605,"vcu","Contact group",6
"5945",2484731,"vcu","Control group",7.75
"5946",2484821,"vcu","Contact group",4.5
"5947",2484823,"vcu","Contact group",8
"5948",2486359,"vcu","Contact group",7.75
"5949",2486360,"vcu","Contact group",3.5
"5950",2486471,"vcu","Control group",7.5
"5951",2486800,"vcu","Contact group",1.5
"5952",2486813,"vcu","Control group",3
"5953",2486820,"vcu","Control group",1.5
"5954",2486838,"vcu","Contact group",8.25
"5955",2486843,"vcu","Control group",8.5
"5956",2490264,"vcu","Control group",6.25
"5957",2490265,"vcu","Control group",4
"5958",2490268,"vcu","Control group",5.25
"5959",2490275,"vcu","Control group",6.5
"5960",2490276,"vcu","Contact group",6.25
"5961",2490281,"vcu","Control group",3.75
"5962",2490326,"vcu","Control group",4.75
"5963",2490327,"vcu","Control group",7
"5964",2490328,"vcu","Contact group",5.75
"5965",2490371,"vcu","Control group",3.5
"5966",2490398,"vcu","Contact group",7.75
"5967",2492269,"vcu","Control group",8.25
"5968",2492270,"vcu","Contact group",4.25
