"","lab","free_m","free_s","free_n","paid_m","paid_s","paid_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"1","abington",7,2.86579237863576,48,8.27777777777778,1.3225756497102,36,1.27777777777778,0.253478493355234,2.30207706220032,0.777777777777778,-0.574656231612945,FALSE,0.9,10,"USA","Lab","USA"
"2","brasilia",7.25454545454545,2.65426408729762,55,7.83076923076923,2.2119648418405,65,0.576223776223776,-0.3033720467808,1.45581959922835,0.944444444444444,-0.583303590799248,FALSE,0.9,10,"Brazil","Lab","NotUSA"
"3","charles",6.79591836734694,2.406411503989,49,7.8,1.71155244287339,35,1.00408163265306,0.0593738181933635,1.94878944711276,0.888888888888889,-0.577503546148812,FALSE,0.8,10,"Czech Republic","Lab","NotUSA"
"4","conncoll",7.53333333333333,2.06265495285699,45,8.22,1.26636229783887,50,0.686666666666667,-0.00313798869357818,1.37647132202691,0.861111111111111,-0.580969594089725,FALSE,1,10,"USA","Lab","USA"
"5","csun",7.45652173913043,2.00783489515039,46,8.34,1.3032142367772,50,0.883478260869565,0.202858073305278,1.56409844843385,0.861111111111111,-0.57643991725242,FALSE,0.9,10,"USA","Online","USA"
"6","help",7.86363636363636,1.62238568366277,44,7.74137931034483,2.23654138400599,58,-0.122257053291536,-0.913849614745276,0.669335508162204,0.527777777777778,-0.595907437394007,TRUE,0.6,10,"Malaysia","Lab","NotUSA"
"7","ithaca",7.98181818181818,1.62720971230246,55,8.34285714285714,1.41302464786082,35,0.361038961038962,-0.304127935344406,1.02620585742233,0.888888888888889,-0.589014335918988,FALSE,0.8,10,"USA","Lab","USA"
"8","jmu",7.48387096774194,2.21463954877443,93,8.50617283950617,1.16322242918244,81,1.02230187176424,0.481260472198394,1.56334327133008,0.583333333333333,-0.565930187087629,FALSE,0.8,10,"USA","Online","USA"
"9","ku",6.55737704918033,2.7296189609781,61,7.71153846153846,1.78596421435657,52,1.15416141235813,0.277592881451699,2.03072994326457,0.777777777777778,-0.574764622296836,FALSE,1,10,"Turkey","Online","NotUSA"
"10","laurier",7.57894736842105,2.21155543534613,57,8.36363636363636,1.09483021453246,55,0.784688995215311,0.127479690637172,1.44189829979345,0.833333333333333,-0.578065631672686,FALSE,0.9,10,"Canada","Lab","NotUSA"
"11","lse",7.44628099173554,2.03695202538474,121,8.20645161290323,1.67757080944306,155,0.760170621167689,0.319884647199714,1.20045659513566,0.666666666666667,-0.574006818862247,FALSE,0.9,10,"UK","Lab","NotUSA"
"12","luc",7.65277777777778,1.95123451151722,72,8.14864864864865,1.69352054828511,74,0.495870870870871,-0.101307600321278,1.09304934206302,0.805555555555556,-0.585876121772125,FALSE,0.8,10,"USA","Lab","USA"
"13","mcdaniel",7.8695652173913,1.69454937506733,46,8.11764705882353,1.6204574517528,51,0.248081841432224,-0.420398964727725,0.916562647592173,0.75,-0.591196247574067,FALSE,0.7,10,"USA","Online","USA"
"14","msvu",7.37777777777778,2.36728545047707,45,8.1,1.93218356615859,40,0.722222222222221,-0.21728831614599,1.66173276059043,0.972222222222222,-0.581451184146597,FALSE,0.9,10,"Canada","Lab","NotUSA"
"15","mturk",6.51991614255765,2.75050064069539,477,7.30459770114942,2.37895804766446,522,0.784681558591773,0.466096989890315,1.10326612729323,0.527777777777778,-0.561247360723625,FALSE,0.8,10,"USA","Online","USA"
"16","osu",6.81666666666667,2.41809328629872,60,7.78723404255319,1.68027133177387,47,0.970567375886525,0.149203200878499,1.79193155089455,0.861111111111111,-0.576482861338551,FALSE,0.7,10,"USA","Lab","USA"
"17","oxy",6.87878787878788,2.6048189159866,66,8.375,1.59045448050092,56,1.49621212121212,0.705268789015479,2.28715545340876,0.388888888888889,-0.56668765347879,FALSE,0.2,10,"USA","Lab","USA"
"18","pi",6.8953125,2.75157827451491,640,7.37481698389458,2.4620422977358,683,0.479504483894583,0.198236830778853,0.760772137010312,0.527777777777778,-0.595730048959929,FALSE,0.9,10,"USA","Online","USA"
"19","psu",8.06382978723404,1.78647400252624,47,8.3125,1.47541916150213,48,0.248670212765957,-0.418277615009403,0.915618040541316,0.75,-0.591228357698824,FALSE,0.6,10,"USA","Lab","USA"
"20","qccuny",7.75510204081633,1.85439356939245,49,7.58490566037736,2.29911322590782,53,-0.170196380438968,-0.994886732025017,0.654493971147081,0.5,-0.594826336166694,TRUE,0.4,10,"U","Lab","NotUSA"
