"","lab","free_m","free_s","free_n","paid_m","paid_s","paid_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Country","OnlineorLab","USAorNot"
"21","qccuny2",7.37777777777778,2.58746004702478,45,7.73170731707317,2.41892941447144,41,0.353929539295392,-0.723119388657276,1.43097846724806,0.944444444444444,-0.585347422409057,TRUE,1,10,"U","Lab","NotUSA"
"22","sdsu",8.16216216216216,1.63880199333025,74,8.53409090909091,1.02776248023484,88,0.371928746928747,-0.0459455487678807,0.789803042625374,0.611111111111111,-0.595164813154621,FALSE,0.7,10,"U","Lab","NotUSA"
"23","swps",8.25641025641026,1.61763226446864,39,8.15,1.54504999504207,40,-0.106410256410257,-0.814989600731649,0.602169087911135,0.5,-0.597567706618089,TRUE,0.3,10,"Poland","Lab","NotUSA"
"24","swpson",7.64102564102564,1.94050708980095,78,7.88888888888889,2.07956588190385,90,0.247863247863248,-0.367962057571769,0.863688553298265,0.694444444444444,-0.592634543506806,FALSE,1,10,"International","Online","NotUSA"
"25","tamu",7.89247311827957,2.01333794648825,93,8.46808510638298,1.17959467851557,94,0.575611988103409,0.100143088785146,1.05108088742167,0.777777777777778,-0.583639498727779,FALSE,1,10,"USA","Lab","USA"
"26","tamuc",6.6,2.39443799947573,40,7.53191489361702,2.52682188967973,47,0.931914893617022,-0.123244996061394,1.98707478329544,0.944444444444444,-0.579777466680327,FALSE,0.7,10,"USA","Lab","USA"
"27","tamuon",7.96808510638298,1.82840272063024,94,8.45801526717557,1.27254766865367,131,0.489930160792594,0.0826005721085566,0.897259749476631,0.666666666666667,-0.588547959705379,FALSE,0.9,10,"USA","Online","USA"
"28","tilburg",7.62790697674419,2.25750869653921,43,8.51351351351351,0.837377573858532,37,0.885606536769328,0.103686117100476,1.66752695643818,0.861111111111111,-0.577175671729379,FALSE,0.9,10,"Netherlands","Lab","NotUSA"
"29","ufl",7.74242424242424,2.13621236383541,66,8.04918032786885,1.99521285003377,61,0.30675608544461,-0.420775845355192,1.03428801624441,0.888888888888889,-0.588835374002574,FALSE,0.8,10,"USA","Lab","USA"
"30","unipd",7.28571428571429,2.74994763251354,63,8.24691358024691,1.32788237616826,81,0.961199294532627,0.272982173096758,1.6494164159685,0.777777777777778,-0.575920815253915,FALSE,0.9,10,"Italy","Online","NotUSA"
"31","uva",7.42857142857143,1.77043886692328,35,8.15217391304348,1.563008371405,46,0.72360248447205,-0.0154963616403752,1.46270133058447,0.861111111111111,-0.580505094029252,FALSE,0.8,10,"USA","Lab","USA"
"32","wisc",7.3125,2.45951257928468,48,7.60416666666667,1.83047004001046,48,0.291666666666667,-0.586979929776116,1.17031326310945,0.916666666666667,-0.587272837928569,FALSE,0.9,10,"USA","Lab","USA"
"33","wku",7.63793103448276,1.77406536660431,58,7.72727272727273,2.08386533024275,44,0.0893416927899686,-0.669601341356593,0.84828472693653,0.694444444444444,-0.591865981224405,TRUE,0.8,10,"USA","Lab","USA"
"34","wl",7.65853658536585,1.98254578884778,41,8.10416666666667,1.49095975562984,48,0.445630081300813,-0.287455018934402,1.17871518153603,0.916666666666667,-0.585885221452037,FALSE,0.8,10,"USA","Lab","USA"
"35","wpi",7.8,1.82854853465522,40,8.46808510638298,1.36495045028377,47,0.668085106382979,-0.0139012130845576,1.35007142585052,0.861111111111111,-0.581325460076384,FALSE,0.8,10,"USA","Lab","USA"
