study.labels,loc,dens,offset_dens
"Actions are Choices (Savani et al., 2010)",-0.361746150025001,0.000372815180401526,0.000372815180401526
"Actions are Choices (Savani et al., 2010)",-0.361746150025001,0,0
"Actions are Choices (Savani et al., 2010)",-0.360722799144277,0.000411645198947073,0.000411645198947073
"Actions are Choices (Savani et al., 2010)",-0.359699448263553,0.000454534029420304,0.000454534029420304
"Actions are Choices (Savani et al., 2010)",-0.358676097382829,0.000502013320821135,0.000502013320821135
"Actions are Choices (Savani et al., 2010)",-0.357652746502105,0.000552798481207216,0.000552798481207216
"Actions are Choices (Savani et al., 2010)",-0.356629395621381,0.000608486506507457,0.000608486506507457
"Actions are Choices (Savani et al., 2010)",-0.355606044740656,0.000670133666744495,0.000670133666744495
"Actions are Choices (Savani et al., 2010)",-0.354582693859932,0.000735926679523275,0.000735926679523275
"Actions are Choices (Savani et al., 2010)",-0.353559342979208,0.000807571704925342,0.000807571704925342
"Actions are Choices (Savani et al., 2010)",-0.352535992098484,0.000886862475417096,0.000886862475417096
"Actions are Choices (Savani et al., 2010)",-0.35151264121776,0.000971295828278883,0.000971295828278883
"Actions are Choices (Savani et al., 2010)",-0.350489290337036,0.00106262991964117,0.00106262991964117
"Actions are Choices (Savani et al., 2010)",-0.349465939456312,0.00116366017373631,0.00116366017373631
"Actions are Choices (Savani et al., 2010)",-0.348442588575588,0.00127099977008867,0.00127099977008867
"Actions are Choices (Savani et al., 2010)",-0.347419237694864,0.00138637732003861,0.00138637732003861
"Actions are Choices (Savani et al., 2010)",-0.34639588681414,0.00151390988187393,0.00151390988187393
"Actions are Choices (Savani et al., 2010)",-0.345372535933416,0.00164909877803159,0.00164909877803159
"Actions are Choices (Savani et al., 2010)",-0.344349185052692,0.00179353407321492,0.00179353407321492
"Actions are Choices (Savani et al., 2010)",-0.343325834171968,0.00195303257660865,0.00195303257660865
"Actions are Choices (Savani et al., 2010)",-0.342302483291244,0.00212172060905748,0.00212172060905748
"Actions are Choices (Savani et al., 2010)",-0.341279132410519,0.00230091098735464,0.00230091098735464
"Actions are Choices (Savani et al., 2010)",-0.340255781529795,0.00249855652441481,0.00249855652441481
"Actions are Choices (Savani et al., 2010)",-0.339232430649071,0.00270711160711464,0.00270711160711464
"Actions are Choices (Savani et al., 2010)",-0.338209079768347,0.00292744236908246,0.00292744236908246
"Actions are Choices (Savani et al., 2010)",-0.337185728887623,0.00317012889649901,0.00317012889649901
"Actions are Choices (Savani et al., 2010)",-0.336162378006899,0.0034256260819787,0.0034256260819787
"Actions are Choices (Savani et al., 2010)",-0.335139027126175,0.0036941537019586,0.0036941537019586
"Actions are Choices (Savani et al., 2010)",-0.334115676245451,0.0039894587493568,0.0039894587493568
