"","session_id","referrer","scalesgroup","scales"
"5429",2489735,"tilburg","low category scale","less than 2 1/2 hrs"
"5430",2489737,"tilburg","low category scale","less than 2 1/2 hrs"
"5431",2489745,"tilburg","low category scale","less than 2 1/2 hrs"
"5432",2489754,"tilburg","low category scale","less than 2 1/2 hrs"
"5433",2489757,"tilburg","high category scale","more than 2 1/2 hrs"
"5434",2489759,"tilburg","low category scale","less than 2 1/2 hrs"
"5435",2489763,"tilburg","high category scale","less than 2 1/2 hrs"
"5436",2489764,"tilburg","low category scale","less than 2 1/2 hrs"
"5437",2489765,"tilburg","low category scale","less than 2 1/2 hrs"
"5438",2489766,"tilburg","high category scale","less than 2 1/2 hrs"
"5439",2489777,"tilburg","high category scale","less than 2 1/2 hrs"
"5440",2489790,"tilburg","high category scale","less than 2 1/2 hrs"
"5441",2489797,"tilburg","high category scale","more than 2 1/2 hrs"
"5442",2489800,"tilburg","high category scale","less than 2 1/2 hrs"
"5443",2489804,"tilburg","low category scale","less than 2 1/2 hrs"
"5444",2489805,"tilburg","low category scale","less than 2 1/2 hrs"
"5445",2489813,"tilburg","low category scale","less than 2 1/2 hrs"
"5446",2489815,"tilburg","high category scale","less than 2 1/2 hrs"
"5447",2489819,"tilburg","high category scale","less than 2 1/2 hrs"
"5448",2489821,"tilburg","high category scale","more than 2 1/2 hrs"
"5449",2489838,"tilburg","high category scale","less than 2 1/2 hrs"
"5450",2489840,"tilburg","low category scale","less than 2 1/2 hrs"
"5451",2489841,"tilburg","low category scale","less than 2 1/2 hrs"
"5452",2489842,"tilburg","low category scale","less than 2 1/2 hrs"
"5453",2489843,"tilburg","low category scale","less than 2 1/2 hrs"
"5454",2489845,"tilburg","low category scale","less than 2 1/2 hrs"
"5455",2489846,"tilburg","low category scale","less than 2 1/2 hrs"
"5456",2489847,"tilburg","high category scale","more than 2 1/2 hrs"
"5457",2491621,"tilburg","high category scale","less than 2 1/2 hrs"
"5458",2491639,"tilburg","low category scale","less than 2 1/2 hrs"
"5459",2491640,"tilburg","high category scale","less than 2 1/2 hrs"
"5460",2491659,"tilburg","low category scale","less than 2 1/2 hrs"
"5461",2491660,"tilburg","low category scale","more than 2 1/2 hrs"
"5462",2491661,"tilburg","high category scale","less than 2 1/2 hrs"
"5463",2491663,"tilburg","low category scale","less than 2 1/2 hrs"
"5464",2491675,"tilburg","low category scale","less than 2 1/2 hrs"
"5465",2491681,"tilburg","high category scale","less than 2 1/2 hrs"
"5466",2491682,"tilburg","low category scale","less than 2 1/2 hrs"
"5467",2491691,"tilburg","low category scale","less than 2 1/2 hrs"
"5468",2491692,"tilburg","low category scale","less than 2 1/2 hrs"
"5469",2491693,"tilburg","low category scale","less than 2 1/2 hrs"
"5470",2491695,"tilburg","high category scale","less than 2 1/2 hrs"
"5471",2491697,"tilburg","high category scale","less than 2 1/2 hrs"
"5472",2491699,"tilburg","low category scale","less than 2 1/2 hrs"
"5473",2491701,"tilburg","low category scale","less than 2 1/2 hrs"
"5474",2493370,"tilburg","low category scale","less than 2 1/2 hrs"
"5475",2493371,"tilburg","high category scale","less than 2 1/2 hrs"
"5476",2493372,"tilburg","low category scale","less than 2 1/2 hrs"
"5477",2493374,"tilburg","high category scale","less than 2 1/2 hrs"
"5478",2493375,"tilburg","high category scale","less than 2 1/2 hrs"
"5479",2493403,"tilburg","high category scale","less than 2 1/2 hrs"
"5480",2493583,"tilburg","high category scale","less than 2 1/2 hrs"
"5481",2493618,"tilburg","high category scale","more than 2 1/2 hrs"
"5482",2493623,"tilburg","low category scale","less than 2 1/2 hrs"
"5483",2493627,"tilburg","high category scale","more than 2 1/2 hrs"
"5484",2493630,"tilburg","low category scale","less than 2 1/2 hrs"
"5485",2493632,"tilburg","low category scale","less than 2 1/2 hrs"
"5486",2493634,"tilburg","low category scale","less than 2 1/2 hrs"
"5487",2493639,"tilburg","low category scale","less than 2 1/2 hrs"
"5488",2493643,"tilburg","high category scale","less than 2 1/2 hrs"
"5489",2495318,"tilburg","low category scale","less than 2 1/2 hrs"
"5490",2495320,"tilburg","high category scale","less than 2 1/2 hrs"
"5491",2495321,"tilburg","low category scale","less than 2 1/2 hrs"
"5492",2495322,"tilburg","low category scale","less than 2 1/2 hrs"
"5493",2495352,"tilburg","high category scale","more than 2 1/2 hrs"
"5494",2495425,"tilburg","high category scale","more than 2 1/2 hrs"
"5495",2495427,"tilburg","high category scale","more than 2 1/2 hrs"
"5496",2495429,"tilburg","low category scale","less than 2 1/2 hrs"
"5497",2495430,"tilburg","low category scale","less than 2 1/2 hrs"
"5498",2495431,"tilburg","high category scale","more than 2 1/2 hrs"
"5499",2495433,"tilburg","low category scale","less than 2 1/2 hrs"
"5500",2495435,"tilburg","high category scale","less than 2 1/2 hrs"
"5501",2495438,"tilburg","low category scale","less than 2 1/2 hrs"
"5502",2495440,"tilburg","high category scale","more than 2 1/2 hrs"
"5503",2495458,"tilburg","high category scale","less than 2 1/2 hrs"
"5504",2495460,"tilburg","low category scale","less than 2 1/2 hrs"
"5505",2495590,"tilburg","low category scale","less than 2 1/2 hrs"
"5506",2497280,"tilburg","high category scale","less than 2 1/2 hrs"
"5507",2497308,"tilburg","low category scale","less than 2 1/2 hrs"
"5508",2497333,"tilburg","low category scale","less than 2 1/2 hrs"
