"","session_id","referrer","scalesgroup","scales"
"847",2483687,"ku","low category scale","less than 2 1/2 hrs"
"848",2483760,"ku","low category scale","less than 2 1/2 hrs"
"850",2483825,"ku","high category scale","less than 2 1/2 hrs"
"851",2483870,"ku","low category scale","less than 2 1/2 hrs"
"852",2483963,"ku","high category scale","less than 2 1/2 hrs"
"853",2484027,"ku","low category scale","less than 2 1/2 hrs"
"854",2484223,"ku","high category scale","less than 2 1/2 hrs"
"855",2484248,"ku","low category scale","less than 2 1/2 hrs"
"856",2484282,"ku","low category scale","less than 2 1/2 hrs"
"857",2484311,"ku","low category scale","less than 2 1/2 hrs"
"858",2484495,"ku","low category scale","more than 2 1/2 hrs"
"859",2484518,"ku","high category scale","less than 2 1/2 hrs"
"861",2484655,"ku","low category scale","less than 2 1/2 hrs"
"862",2484735,"ku","low category scale","less than 2 1/2 hrs"
"863",2484763,"ku","high category scale","less than 2 1/2 hrs"
"864",2484839,"ku","high category scale","less than 2 1/2 hrs"
"866",2484964,"ku","low category scale","less than 2 1/2 hrs"
"867",2484991,"ku","high category scale","less than 2 1/2 hrs"
"868",2484998,"ku","high category scale","less than 2 1/2 hrs"
"869",2485106,"ku","high category scale","less than 2 1/2 hrs"
"870",2485128,"ku","high category scale","less than 2 1/2 hrs"
"871",2485343,"ku","low category scale","less than 2 1/2 hrs"
"873",2486014,"ku","low category scale","less than 2 1/2 hrs"
"874",2486033,"ku","high category scale","less than 2 1/2 hrs"
"875",2486087,"ku","low category scale","less than 2 1/2 hrs"
"876",2486120,"ku","low category scale","less than 2 1/2 hrs"
"877",2486130,"ku","low category scale","less than 2 1/2 hrs"
"878",2486139,"ku","high category scale","less than 2 1/2 hrs"
"879",2486189,"ku","low category scale","less than 2 1/2 hrs"
"880",2486238,"ku","high category scale","less than 2 1/2 hrs"
"881",2486297,"ku","high category scale","less than 2 1/2 hrs"
"882",2486389,"ku","low category scale","less than 2 1/2 hrs"
"883",2486683,"ku","low category scale","less than 2 1/2 hrs"
"884",2487627,"ku","low category scale","less than 2 1/2 hrs"
"885",2487736,"ku","high category scale","less than 2 1/2 hrs"
"886",2487969,"ku","high category scale","less than 2 1/2 hrs"
"888",2488624,"ku","high category scale","less than 2 1/2 hrs"
"889",2489799,"ku","low category scale","less than 2 1/2 hrs"
